Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Infectious Disease,Erythromycin 3,RX,1,5.0,2.0,4.0,125.24,Oral Solids
Infectious Disease,Amoxicillin 4,RX,1,5.0,1.0,1.0,12.59,Oral Solids
Infectious Disease,Erythromycin Stearate 3,RX,1,4.0,4.0,4.0,161.19,Oral Solids
Infectious Disease,Amoxicillin 5,RX,1,5.0,5.0,5.0,12.59,Oral Solids
Infectious Disease,Amoxicillin 6,RX,1,4.0,4.0,5.0,12.59,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 4,RX,1,5.0,4.0,5.0,332.63,Oral Liquids
Infectious Disease,Erythromycin Ethylsuccinate 5,RX,1,1.0,1.0,1.0,332.63,Oral Liquids
Infectious Disease,Erythromycin Ethylsuccinate 6,RX,1,3.0,3.0,3.0,332.63,Oral Liquids
Chronic Disease,Capecitabine,RX,156,3.75,3.78,3.62,5829.19,Oral Solids
Chronic Disease,Cisplatin,RX,33,4.27,3.45,3.45,362.89,Injectables
Chronic Disease,Oxaliplatin,RX,29,4.0,2.8,2.8,2049.59,Injectables
Chronic Disease,Paclitaxel-Protein Bound,RX,27,4.18,4.0,3.77,10362.19,Injectables
Chronic Disease,Gemcitabine,RX,26,3.44,3.11,2.67,170.99,Injectables
Chronic Disease,Gemcitabine 2,RX,17,3.25,4.0,3.0,170.99,Injectables
Chronic Disease,Capecitabine 2,RX,10,3.75,4.5,3.75,5829.19,Oral Solids
Chronic Disease,Fluorouracil,RX,5,3.0,1.0,3.0,25.99,Injectables
Chronic Disease,Mitomycin,RX,4,2.5,2.0,2.0,1516.09,Injectables
Chronic Disease,Doxorubicin,RX,4,2.0,2.0,3.0,23.29,Injectables
Chronic Disease,Oxaliplatin 2,RX,3,5.0,5.0,3.0,2049.59,Injectables
Chronic Disease,Doxorubicin 2,RX,2,1.0,3.0,1.0,23.29,Injectables
Chronic Disease,Cisplatin 2,RX,1,3.0,3.0,3.0,362.89,Injectables
Chronic Disease,Paclitaxel-Protein Bound 2,RX,1,3.0,2.0,3.0,10362.19,Injectables
Skin Condition,Prednisone,RX,2575,3.54,3.64,2.74,11.99,Oral Solids
Skin Condition,Methylprednisolone,RX,586,3.3,3.92,2.82,33.76,Oral Solids
Skin Condition,Cetirizine,OTC,364,3.59,4.18,2.81,15.49,Oral Solids
Skin Condition,Triamcinolone Acetonide,RX,321,3.03,3.17,2.68,10.18,Injectables
Skin Condition,Triamcinolone Acetonide 2,RX,235,4.0,4.44,3.85,13.99,Ointments
Skin Condition,Clobetasol,RX,151,3.94,4.34,3.82,174.99,Oral Liquids
Skin Condition,Methylprednisolone 2,RX,129,3.39,3.97,3.11,33.76,Oral Solids
Skin Condition,Methylprednisolone 3,RX,118,3.35,3.31,2.92,33.76,Oral Solids
Skin Condition,Dexamethasone,RX,113,3.38,3.27,2.47,11.99,Oral Solids
Skin Condition,Methylprednisolone Acetate,RX,104,3.52,3.0,3.14,16.57,Injectables
Skin Condition,Cetirizine 2,RX/OTC,89,3.27,4.14,3.05,15.49,Oral Solids
Skin Condition,Dexamethasone 2,RX,59,3.67,3.2,1.93,11.99,Oral Solids
Skin Condition,Desonide,RX,57,2.9,4.1,2.9,89.99,Ointments
Skin Condition,Betamethasone Dipropionate,RX,57,3.91,4.55,4.0,52.59,Ointments
Skin Condition,Dexamethasone 3,RX,54,3.38,3.12,2.27,11.99,Oral Solids
Skin Condition,Tacrolimus,RX,54,3.62,4.1,3.62,232.99,Ointments
Skin Condition,Clobetasol 2,RX,47,3.89,4.04,3.43,174.99,Oral Liquids
Skin Condition,Mometasone,RX,43,4.88,4.88,4.88,23.99,Ointments
Skin Condition,Hydrocortisone,RX,41,4.36,4.23,3.59,14.59,Ointments
Skin Condition,Methylprednisolone 4,RX,41,3.5,3.9,3.3,33.76,Oral Solids
Skin Condition,Desoximetasone,RX,38,3.44,4.67,3.11,47.99,Ointments
Skin Condition,Hydrocortisone 2,RX/OTC,34,4.2,4.2,4.0,14.59,Ointments
Skin Condition,Hydrocortisone 3,RX,33,4.31,4.13,3.69,14.59,Ointments
Skin Condition,Clobetasol-Emollient,RX,32,3.22,3.33,3.11,266.49,Ointments
Skin Condition,Hydrocortisone Butyr-Emollient,RX,31,4.57,4.86,4.43,344.99,Ointments
Skin Condition,Mometasone 2,RX,28,4.67,4.5,4.67,23.99,Ointments
Skin Condition,Prednisone 2,RX,24,1.0,2.8,1.0,11.99,Oral Solids
Skin Condition,Fluocinolone,RX,24,4.45,4.55,4.36,209.99,Oral Liquids
Skin Condition,Triamcinolone Acetonide 3,RX,24,3.75,3.5,3.75,10.18,Injectables
Skin Condition,Methylprednisolone 5,RX,23,3.67,4.33,3.17,33.76,Oral Solids
Skin Condition,Dexamethasone 4,RX,22,2.4,2.8,1.8,11.99,Oral Solids
Skin Condition,Vit E-Grape-Hyaluronate Sodium,RX,22,3.69,4.54,3.77,302.99,Ointments
Skin Condition,Cortisone,RX,20,4.6,4.2,3.2,96.59,Oral Solids
Skin Condition,Betamethasone Valerate,RX,20,3.8,4.6,3.8,45.91,Ointments
Skin Condition,Methylprednisolone Acetate 2,RX,19,3.33,3.67,3.33,16.57,Injectables
Skin Condition,Prednisone 3,RX,18,4.33,3.33,2.33,156.99,Oral Liquids
Skin Condition,Clobetasol 3,RX,18,4.75,4.38,4.13,174.99,Oral Liquids
Skin Condition,"Betamethasone Acet,Sod Phos",RX,18,3.0,3.67,3.0,53.99,Injectables
Skin Condition,Fluocinolone And Shower Cap,RX,17,4.0,3.7,3.6,193.99,Oral Liquids
Skin Condition,Desoximetasone 2,RX,17,3.67,4.67,3.67,47.99,Ointments
Skin Condition,Dexamethasone Sodium Phosphate,RX,15,3.67,3.0,3.67,64.99,Oral Liquids
Skin Condition,Prednisolone Sodium Phosphate,RX,14,3.88,4.75,3.5,206.99,Oral Solids
Skin Condition,Hydrocortisone-Iodoquinl-Aloe2,RX,14,3.0,3.0,3.0,7323.99,Ointments
Skin Condition,"Betamethasone Acet,Sod Phos 2",RX,12,5.0,5.0,5.0,53.99,Injectables
Skin Condition,Fluocinolone 2,RX,11,4.14,4.29,4.0,209.99,Oral Liquids
Skin Condition,Prednisolone,RX,10,3.33,3.0,3.0,206.99,Oral Solids
Skin Condition,Fluocinolone 3,RX,10,3.75,4.25,3.75,209.99,Oral Liquids
Skin Condition,Cetirizine 3,OTC,10,4.0,4.5,3.75,15.49,Oral Solids
Skin Condition,"Betamethasone, Augmented, Betamethasone Dipropionate",RX,9,3.75,4.25,3.5,109.99,Ointments
Skin Condition,Prednicarbate,RX,9,5.0,5.0,5.0,139.99,Ointments
Skin Condition,Hydrocortisone Valerate,RX,9,3.0,3.0,3.0,74.99,Ointments
Skin Condition,Cetirizine 4,OTC,9,3.0,4.33,1.67,15.49,Oral Solids
Skin Condition,Fluticasone Propionate,RX,9,5.0,5.0,5.0,74.99,Oral Liquids
Skin Condition,Flurandrenolide,RX,8,3.0,5.0,2.33,430.99,Ointments
Skin Condition,"Hydrocortisone-Pramoxine, Hydrocortisone",RX,8,3.75,4.75,3.75,14.59,Ointments
Skin Condition,Fluocinolone 4,RX,8,3.0,3.5,3.0,209.99,Oral Liquids
Skin Condition,"Betamethasone, Augmented",RX,8,3.67,4.67,3.67,52.59,Ointments
Skin Condition,Diflorasone,RX,7,5.0,5.0,5.0,334.99,Ointments
Skin Condition,Prednisolone Sodium Phosphate 2,RX,7,4.33,5.0,4.33,206.99,Oral Solids
Skin Condition,Clobetasol 4,RX,7,3.25,5.0,3.25,174.99,Oral Liquids
Skin Condition,Desonide 2,RX,7,4.67,4.67,4.67,790.23,Ointments
Skin Condition,Hydrocortisone Butyrate,RX,7,2.0,2.67,2.0,344.99,Ointments
Skin Condition,Fluticasone Propionate 2,RX,7,5.0,5.0,5.0,74.99,Oral Liquids
Skin Condition,Prednisone 4,RX,7,1.0,3.0,1.0,3099.99,Oral Solids
Skin Condition,Dexamethasone 5,RX,7,5.0,5.0,5.0,11.99,Oral Solids
Skin Condition,Triamcinolone Acetonide 4,RX,7,5.0,5.0,5.0,10.18,Injectables
Skin Condition,Clobetasol-Emollient 2,RX,6,3.0,3.67,2.67,266.49,Ointments
Skin Condition,Hydrocortisone 4,OTC,6,1.8,3.2,3.0,14.59,Ointments
Skin Condition,Fluocinonide-Emollient,RX,6,3.0,3.5,3.0,96.99,Ointments
Skin Condition,Betamethasone Valerate 2,RX,6,3.5,4.5,3.5,45.91,Ointments
Skin Condition,Hydrocortisone 5,OTC,6,1.0,5.0,1.0,14.59,Ointments
Skin Condition,Doxepin,RX,6,3.67,3.67,3.33,13.17,Oral Solids
Skin Condition,Flurandrenolide 2,RX,6,3.0,3.0,3.0,430.99,Ointments
Skin Condition,Betamethasone Dipropionate 2,RX,6,5.0,5.0,5.0,109.99,Ointments
Skin Condition,Diflorasone-Emollient,RX,5,4.0,4.5,4.5,665.99,Ointments
Skin Condition,Desoximetasone 3,RX,5,3.0,3.0,3.0,47.99,Ointments
Skin Condition,Doxepin 2,RX,5,5.0,4.5,4.5,13.17,Oral Solids
Skin Condition,Triamcinolone Acetonide 5,RX,5,4.0,3.5,4.0,13.99,Ointments
Skin Condition,Cetirizine 5,OTC,5,4.0,5.0,5.0,15.49,Oral Solids
Skin Condition,"Hydrocortisone, Pramoxine-Benzyl Alcohol",OTC,5,5.0,5.0,5.0,14.59,Ointments
Skin Condition,"Desonide-Emollient Combo No 28, Desonide",RX,4,1.5,3.0,1.0,89.99,Ointments
Skin Condition,Triamcinolone Acetonide 6,RX,4,4.0,4.0,2.0,13.99,Ointments
Skin Condition,Hydrocortisone Acetate,OTC,4,5.0,5.0,5.0,14.59,Ointments
Skin Condition,Fluocinolone 5,RX,4,4.0,3.5,3.5,209.99,Oral Liquids
Skin Condition,Dexamethasone 6,RX,4,5.0,5.0,5.0,11.99,Oral Solids
Skin Condition,Dexamethasone 7,RX,4,3.0,3.0,3.0,11.99,Oral Solids
Skin Condition,Alclometasone,RX,4,4.5,5.0,4.5,41.99,Ointments
Skin Condition,Alclometasone 2,RX,4,1.0,5.0,1.0,41.99,Ointments
Skin Condition,Prednisolone Sodium Phosphate 3,RX,3,4.0,3.67,3.67,206.99,Oral Solids
Skin Condition,Dexamethasone Sodium Phosphate 2,RX,3,3.5,4.5,3.0,64.99,Oral Liquids
Skin Condition,Flurandrenolide 3,RX,3,3.0,5.0,4.0,430.99,Ointments
Skin Condition,Amcinonide,RX,3,5.0,5.0,5.0,224.77,Ointments
Skin Condition,Hydrocortisone Butyrate 2,RX,3,5.0,5.0,5.0,65.99,Ointments
Skin Condition,"Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh","
",3,2.0,3.0,2.5,14.5,Ointments
Skin Condition,Tacrolimus 2,RX,3,5.0,4.0,5.0,232.99,Ointments
Skin Condition,Betamethasone Valerate 3,RX,3,5.0,5.0,5.0,45.91,Ointments
Skin Condition,Hydrocortisone 6,OTC,3,5.0,5.0,5.0,14.59,Ointments
Skin Condition,"Prednisolone, Prednisolone Sodium Phosphate",RX,3,1.0,3.0,2.0,206.99,Oral Solids
Skin Condition,Hydrocortisone Valerate 2,RX,3,1.0,1.0,1.0,74.99,Ointments
Skin Condition,Desonide 3,RX,3,5.0,5.0,5.0,1231.99,Ointments
Skin Condition,Hydrocortisone Sod Succinate,RX,2,5.0,5.0,5.0,49.99,Injectables
Skin Condition,Diflorasone 2,RX,2,5.0,5.0,5.0,334.99,Ointments
Skin Condition,Amcinonide 2,RX,2,5.0,5.0,5.0,224.77,Ointments
Skin Condition,Diflorasone-Emollient 2,RX,2,5.0,5.0,5.0,665.99,Ointments
Skin Condition,Triamcinolone Acetonide 7,RX,2,4.0,1.0,4.0,13.99,Ointments
Skin Condition,Hydrocortisone 7,OTC,2,1.0,5.0,1.0,14.59,Ointments
Skin Condition,Hydrocortisone Probutate,RX,2,1.0,1.0,1.0,1264.99,Ointments
Skin Condition,Hydrocortisone 8,OTC,2,5.0,5.0,5.0,14.59,Ointments
Skin Condition,Triamcinolone Acetonide 8,RX,2,3.5,3.5,3.5,13.99,Ointments
Skin Condition,Triamcinolone-Emollient Comb86,RX,2,1.0,1.0,1.0,612.99,Others
Skin Condition,Hydrocortisone Acetate 2,OTC,2,5.0,5.0,5.0,14.59,Ointments
Skin Condition,Fluocinonide-Emollient 2,RX,2,4.0,4.0,5.0,96.99,Ointments
Skin Condition,Dexamethasone Sodium Phos (PF),RX,2,5.0,4.0,5.0,11.99,Injectables
Skin Condition,Methylprednisolone Acetate 3,RX,2,1.0,1.0,1.0,16.57,Injectables
Skin Condition,Cetirizine 6,OTC,2,5.0,5.0,5.0,15.49,Oral Solids
Skin Condition,Flurandrenolide 4,RX,2,5.0,5.0,5.0,430.99,Ointments
Skin Condition,Triamcinolone Acetonide 9,RX,2,5.0,5.0,5.0,13.99,Ointments
Skin Condition,Dexamethasone 8,RX,2,4.0,5.0,5.0,11.99,Oral Solids
Skin Condition,Methylprednisolone Acetate 4,RX,2,3.0,2.0,1.0,16.57,Injectables
Skin Condition,Triamcinolone Acetonide 10,RX,2,1.0,1.0,1.0,10.18,Injectables
Skin Condition,Hydrocortisone 9,OTC,1,5.0,5.0,5.0,14.59,Ointments
Skin Condition,Methylprednisolone 6,RX,1,2.0,4.0,3.0,33.76,Oral Solids
Skin Condition,Triamcinolone Acetonide 11,RX,1,1.0,1.0,1.0,10.18,Injectables
Skin Condition,Hydrocortisone-Iodoquinol,RX,1,4.0,4.0,4.0,58.99,Ointments
Skin Condition,Clobetasol-Emollient 3,RX,1,5.0,5.0,5.0,266.49,Ointments
Skin Condition,Hydrocortisone Sod Succinate 2,RX,1,3.0,3.0,4.0,49.99,Injectables
Skin Condition,Hydrocortisone 10,OTC,1,1.0,5.0,1.0,14.59,Ointments
Skin Condition,Dexamethasone 9,RX,1,1.0,1.0,1.0,11.99,Oral Solids
Skin Condition,Dexamethasone 10,RX,1,4.0,5.0,4.0,11.99,Oral Solids
Skin Condition,"Salicylic Acid, Hydrocortisone",OTC,1,1.0,1.0,1.0,113.99,Oral Liquids
Skin Condition,Fluocinolone And Shower Cap 2,RX,1,5.0,3.0,5.0,209.99,Oral Liquids
Skin Condition,Methylprednisolone Acetate 5,RX,1,4.0,2.0,4.0,16.57,Injectables
Skin Condition,Hydrocortisone Sod Succ (PF),RX,1,4.0,5.0,4.0,49.99,Injectables
Skin Condition,"Betamethasone, Augmented 2",RX,1,4.0,3.0,3.0,52.59,Ointments
Skin Condition,Hydrocortisone 11,OTC,1,2.0,2.0,2.0,14.59,Ointments
Skin Condition,Triamcinolone Acetonide 12,RX,1,4.0,4.0,3.0,13.99,Ointments
Skin Condition,Hydrocortisone 12,OTC,1,4.0,4.0,4.0,14.59,Ointments
Skin Condition,Methylprednisolone Acetate 6,RX,1,2.0,1.0,1.0,16.57,Injectables
Skin Condition,Hydrocortisone Acetate 3,RX/OTC,1,2.0,4.0,2.0,14.59,Ointments
Skin Condition,Hydrocortisone Acetate 4,OTC,1,4.0,5.0,4.0,14.59,Ointments
Skin Condition,Methylprednisolone Acetate 7,RX,1,4.0,2.0,2.0,16.57,Injectables
Skin Condition,Desonide 4,RX,1,5.0,5.0,5.0,89.99,Ointments
Skin Condition,Betamethasone Valerate 4,RX,1,5.0,5.0,5.0,45.91,Ointments
Skin Condition,Dexamethasone Sodium Phosphate 3,RX,1,5.0,5.0,4.0,64.99,Oral Liquids
Skin Condition,Methylprednisolone Acetate 8,RX,1,5.0,5.0,5.0,16.57,Injectables
Skin Condition,Prednisone 5,RX,1,5.0,5.0,5.0,11.99,Oral Solids
Skin Condition,Methylprednisolone Acetate 9,RX,1,1.0,1.0,1.0,16.57,Injectables
Skin Condition,Hydrocortisone 13,OTC,1,3.0,4.0,2.0,14.59,Ointments
Skin Condition,Flurandrenolide 5,RX,1,5.0,5.0,5.0,430.99,Ointments
Skin Condition,Hydrocortisone 14,RX,1,4.0,4.0,3.0,14.59,Ointments
Skin Condition,Hydrocortisone 15,RX/OTC,1,1.0,1.0,1.0,14.59,Ointments
Skin Condition,Methylprednisolone Acetate 10,RX,1,5.0,5.0,4.0,16.57,Injectables
Skin Condition,Prednisone 6,RX,1,4.0,5.0,4.0,11.99,Oral Solids
Skin Condition,Triamcinolone Acetonide 13,RX,1,5.0,5.0,5.0,10.18,Injectables
Skin Condition,Fluocinolone-Emol Cmb#65,RX,1,1.0,4.0,1.0,35.99,Ointments
Skin Condition,Fluocinolone-Emol Cmb#65 2,RX,1,1.0,3.0,1.0,35.99,Ointments
Skin Condition,Desonide-Emollient Combo No 28,RX,1,4.0,4.0,4.0,89.99,Ointments
Skin Condition,Flurandrenolide 6,RX,1,3.0,2.0,3.0,430.99,Ointments
Skin Condition,Fluocinolone-Skin Clnsr28,RX,1,5.0,5.0,5.0,35.99,Ointments
Skin Condition,Vit E-Glycerin-Dimethicone,"
",1,4.0,5.0,5.0,14.5,Ointments
Skin Condition,Diflorasone 3,RX,1,4.0,5.0,5.0,334.99,Ointments
Skin Condition,Prednisolone 2,RX,1,3.0,2.0,2.0,348.99,Oral Solids
Skin Condition,Hydrocortisone-Oatmeal-Aloe-E,OTC,1,1.0,3.0,1.0,14.59,Ointments
Pain and Inflammation,Acetaminophen,OTC,135,3.07,3.85,3.15,11.99,Oral Solids
Pain and Inflammation,Capsaicin,OTC,127,2.53,2.63,2.5,17.99,Ointments
Pain and Inflammation,Capsaicin 2,OTC,92,2.74,3.71,2.66,17.99,Ointments
Pain and Inflammation,Acetaminophen 2,OTC,71,3.31,4.06,3.13,11.99,Oral Solids
Pain and Inflammation,"Capsaicin-Menthol, Capsaicin",OTC,59,2.47,3.47,2.16,17.99,Ointments
Pain and Inflammation,Capsaicin 3,OTC,22,3.13,3.38,3.13,17.99,Ointments
Pain and Inflammation,Trolamine Salicylate,OTC,22,2.89,4.0,2.89,11.99,Ointments
Pain and Inflammation,Trolamine Salicylate 2,OTC,20,4.0,4.8,4.0,11.99,Ointments
Pain and Inflammation,Capsaicin-Methyl Sal-Menthol,OTC,16,4.92,4.92,4.83,313.47,Oral Liquids
Pain and Inflammation,Acetaminophen 3,OTC,16,3.73,4.36,3.55,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 4,OTC,15,4.5,4.0,4.25,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 5,OTC,15,3.0,4.25,2.5,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 6,OTC,13,2.2,4.0,2.8,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 7,OTC,11,3.5,4.0,3.75,11.99,Oral Solids
Pain and Inflammation,Capsaicin 4,OTC,9,2.33,3.0,2.0,17.99,Ointments
Pain and Inflammation,Trolamine Salicylate 3,OTC,9,4.0,5.0,3.75,11.99,Ointments
Pain and Inflammation,Capsaicin 5,OTC,9,2.0,2.0,2.0,17.99,Ointments
Pain and Inflammation,Acetaminophen 8,OTC,8,3.67,4.67,4.33,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 9,OTC,7,4.5,4.5,4.5,11.99,Oral Solids
Pain and Inflammation,Capsaicin 6,OTC,7,4.33,4.33,4.67,17.99,Ointments
Pain and Inflammation,Trolamine Salicylate 4,OTC,6,3.0,3.0,3.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 10,OTC,6,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 11,OTC,6,2.0,2.0,1.0,11.99,Oral Solids
Pain and Inflammation,Capsaicin 7,OTC,6,4.75,4.5,4.0,17.99,Ointments
Pain and Inflammation,Trolamine Salicylate 5,OTC,5,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 12,OTC,5,1.5,2.5,1.5,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 13,OTC,5,4.5,4.0,4.5,11.99,Oral Solids
Pain and Inflammation,Capsaicin 8,OTC,4,3.0,3.5,3.0,17.99,Ointments
Pain and Inflammation,Menthol,OTC,3,4.67,4.33,4.67,7.95,Ointments
Pain and Inflammation,Trolamine Salicylate 6,OTC,3,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Capsaicin 9,OTC,3,2.67,5.0,2.67,17.99,Ointments
Pain and Inflammation,Acetaminophen 14,OTC,3,5.0,5.0,3.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 15,OTC,3,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Menthol 2,OTC,3,5.0,5.0,5.0,7.95,Ointments
Pain and Inflammation,"Menthol-Camphor-Antarth Cb#1, Methyl Salicylate-Menthol, Camphor-Menthol, Camphor-Methyl Salicyl-Menthol",OTC,3,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 16,OTC,2,4.0,5.0,4.0,11.99,Oral Solids
Pain and Inflammation,Trolamine Salicylate 7,OTC,2,3.0,4.0,3.0,11.99,Ointments
Pain and Inflammation,Menthol 3,OTC,2,5.0,5.0,5.0,7.95,Ointments
Pain and Inflammation,Acetaminophen 17,OTC,2,4.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Capsaicin 10,OTC,2,3.0,5.0,3.0,17.99,Ointments
Pain and Inflammation,Trolamine Salicylate 8,OTC,2,4.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 18,OTC,2,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,"Cpm-PPA-DM-Acetaminophen, Acetaminophen",OTC,2,5.0,5.0,2.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 19,OTC,2,3.0,4.0,1.0,11.99,Oral Solids
Pain and Inflammation,Capsaicin 11,OTC,2,5.0,5.0,5.0,17.99,Ointments
Pain and Inflammation,Acetaminophen 20,OTC,2,1.0,1.0,2.0,11.99,Oral Solids
Pain and Inflammation,Capsaicin-Methyl Sal-Menthol 2,OTC,2,5.0,5.0,5.0,50.63,Ointments
Pain and Inflammation,Trolamine Salicylate 9,OTC,2,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Capsaicin 12,OTC,2,2.5,4.5,2.5,17.99,Ointments
Pain and Inflammation,Acetaminophen 21,OTC,2,5.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,"Trolamine Salicylate, Ala-Bos-Gin-Bas-Rose-Tur-Wil",OTC,2,5.0,3.0,3.0,11.99,Ointments
Pain and Inflammation,Capsaicin-Camphor-Menthol,OTC,2,1.0,1.0,1.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 22,OTC,2,3.0,4.0,2.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 23,OTC,2,1.5,3.0,1.5,11.99,Oral Solids
Pain and Inflammation,Menthol 4,OTC,2,3.0,4.5,3.0,7.95,Ointments
Pain and Inflammation,Acetaminophen 24,OTC,2,2.0,4.0,3.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 25,OTC,2,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Menthol 5,OTC,2,1.0,5.0,1.0,7.95,Ointments
Pain and Inflammation,Capsaicin 13,OTC,1,3.0,4.0,4.0,17.99,Ointments
Pain and Inflammation,Acetaminophen 26,OTC,1,4.0,2.0,4.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 27,OTC,1,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 28,OTC,1,3.0,3.0,5.0,11.99,Oral Solids
Pain and Inflammation,Menthol 6,OTC,1,5.0,5.0,5.0,7.95,Ointments
Pain and Inflammation,Menthol 7,OTC,1,1.0,1.0,1.0,7.95,Ointments
Pain and Inflammation,Acetaminophen 29,OTC,1,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Capsaicin 14,OTC,1,5.0,5.0,5.0,17.99,Ointments
Pain and Inflammation,Capsaicin-Methyl Sal-Menthol 3,OTC,1,5.0,5.0,5.0,9.51,Ointments
Pain and Inflammation,Trolamine Salicylate 10,OTC,1,3.0,4.0,1.0,11.99,Ointments
Pain and Inflammation,Menthol 8,OTC,1,3.0,3.0,2.0,7.95,Ointments
Pain and Inflammation,Trolamine Salicylate-Aloe Vera,OTC,1,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 30,OTC,1,3.0,4.0,3.0,11.99,Oral Solids
Pain and Inflammation,"Menthol, Camphor-Methyl Salicyl-Menthol",OTC,1,5.0,5.0,5.0,11.99,Ointments
Pain and Inflammation,Menthol 9,OTC,1,4.0,5.0,4.0,7.95,Ointments
Pain and Inflammation,Menthol 10,OTC,1,3.0,5.0,4.0,7.95,Ointments
Pain and Inflammation,"Menthol, Capsaicin",OTC,1,4.0,5.0,5.0,7.95,Ointments
Pain and Inflammation,Acetaminophen 31,OTC,1,2.0,3.0,4.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 32,OTC,1,5.0,4.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 33,OTC,1,4.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 34,OTC,1,1.0,5.0,1.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 35,OTC,1,3.0,3.0,3.0,11.99,Oral Solids
Pain and Inflammation,Menthol 11,OTC,1,4.0,4.0,5.0,7.95,Ointments
Pain and Inflammation,Menthol 12,OTC,1,3.0,3.0,3.0,7.95,Ointments
Pain and Inflammation,Capsaicin-Camphor-Menthol 2,OTC,1,5.0,4.0,5.0,11.99,Ointments
Pain and Inflammation,Acetaminophen 36,OTC,1,4.0,4.0,4.0,11.99,Oral Solids
